iter	Passed	Remaining
0	1000	2000982
1	1614	1612562
2	2316	1541763
3	3296	1644883
4	4468	1782846
5	4890	1625292
6	5388	1534120
7	6199	1543795
8	6831	1511178
9	7396	1471832
10	7861	1421509
11	8315	1377588
12	8931	1365132
13	9406	1334349
14	9875	1306797
15	10529	1305690
16	11064	1290623
17	11486	1264744
18	11787	1229002
19	12097	1197679
20	12409	1169409
21	12927	1162344
22	13377	1149841
23	13902	1144665
24	14303	1129976
25	14613	1109515
26	14917	1090117
27	15277	1075979
28	15603	1060493
29	15976	1049122
30	16329	1037183
31	16646	1023734
32	16971	1011618
33	17278	999098
34	17669	992013
35	18663	1018202
36	19206	1019005
37	19717	1018044
38	20091	1010248
39	20473	1003218
40	20859	996681
41	21196	988157
42	21542	980414
43	21922	974574
44	22264	967289
45	22643	961838
46	23033	957122
47	23365	950210
48	23750	945654
49	24130	941071
50	24421	933288
51	24738	926751
52	25058	920546
53	25391	915044
54	25726	909787
55	26083	905480
56	26430	900961
57	26744	895465
58	27105	891733
59	27474	888338
60	27803	883775
61	28134	879415
62	28499	876239
63	28921	874888
64	29316	872737
65	29769	872351
66	30264	873157
67	30697	872165
68	31023	868206
69	31362	864710
70	31634	859481
71	31999	856878
72	32429	856058
73	32794	853544
74	33253	853517
75	33718	853607
76	34057	850551
77	34443	848711
78	34901	848690
79	35314	847550
80	35721	846279
81	36126	845013
82	36494	842900
83	37059	845307
84	37467	844130
85	37799	841254
86	38110	837987
87	38397	834265
88	38676	830455
89	39046	828651
90	39351	825514
91	39664	822602
92	39989	819990
93	40405	819291
94	40738	816909
95	41068	814529
96	41366	811545
97	41674	808820
98	42001	806521
99	42632	810008
100	43005	808589
101	43319	806073
102	43607	803141
103	43951	801276
104	44419	801671
105	44834	801104
106	45118	798213
107	45438	796015
108	45557	790358
109	45813	787159
110	46352	788820
111	46664	786638
112	46960	784205
113	47272	782069
114	47680	781553
115	48063	780618
116	48487	780362
117	48926	780330
118	49291	779144
119	49698	778609
120	50008	776580
121	50410	775995
122	50734	774217
123	51048	772308
124	51331	769971
125	51636	767996
126	51938	765991
127	52277	764552
128	52609	763038
129	52873	760561
130	53141	758173
131	53438	756237
132	53701	753841
133	53958	751385
134	54249	749449
135	54526	747339
136	54764	744719
137	55033	742553
138	55371	741334
139	55648	739327
140	55954	737722
141	56220	735613
142	56543	734270
143	56813	732263
144	57098	730465
145	57344	728201
146	57634	726514
147	57947	725126
148	58191	722906
149	58435	720709
