iter	Passed	Remaining
150	58720	719039
151	58990	717206
152	59263	715420
153	59540	713709
154	59799	711811
155	60060	709948
156	60329	708194
157	60609	706595
158	60868	704778
159	61093	702574
160	61682	704564
161	61963	703014
162	62220	701220
163	62535	700090
164	62925	699811
165	63375	700187
166	63682	698982
167	63913	696960
168	64214	695715
169	64518	694527
170	64770	692780
171	65048	691331
172	65356	690214
173	65755	690052
174	66157	689930
175	66473	688906
176	66817	688184
177	67114	686982
178	67421	685889
179	68000	687560
180	68357	686974
181	68662	685874
182	69280	687880
183	69831	689210
184	70127	688009
185	70382	686421
186	70948	687861
187	71524	689377
188	71865	688618
189	72059	686463
190	72570	687334
191	73012	687531
192	73388	687116
193	73784	686883
194	74214	686959
195	74609	686708
196	74829	684861
197	75259	684939
198	75965	687509
199	76459	688138
200	76953	688750
201	77311	688146
202	77656	687434
203	77980	686536
204	78328	685851
205	78674	685155
206	78920	683597
207	79247	682743
208	79585	681994
209	79916	681193
210	80256	680472
211	80586	679659
212	80918	678878
213	81229	677923
214	81577	677280
215	81893	676382
216	82260	675898
217	82617	675340
218	82941	674516
219	83294	673925
220	83636	673254
221	83793	671099
222	84126	670374
223	84479	669799
224	84802	668997
225	85133	668257
226	85496	667776
227	85776	666645
228	86027	665302
229	86337	664426
230	86544	662759
231	86859	661932
232	87150	660918
233	87452	660007
234	87651	658322
235	88122	658681
236	88413	657694
237	88731	656914
238	89014	655877
239	89294	654824
240	89557	653658
241	89811	652429
242	90081	651327
243	90372	650385
244	90631	649214
245	90864	647870
246	91126	646736
247	91361	645426
248	91615	644251
249	91859	643015
250	92118	641896
251	92381	640805
252	92648	639749
253	92933	638826
254	93210	637855
255	93517	637085
256	93956	637222
257	94252	636389
258	94519	635363
259	94769	634227
260	94995	632937
261	95258	631908
262	95516	630845
263	95798	629946
264	96077	629038
265	96322	627904
266	96538	626598
267	96789	625517
268	97050	624517
269	97316	623547
270	97581	622575
271	97882	621841
272	98149	620891
273	98414	619937
274	98667	618915
275	98897	617750
276	99176	616897
277	99447	616004
278	99706	615036
279	99929	613850
280	100135	612575
281	100345	611325
282	100605	610388
283	100865	609452
284	101164	608763
285	101436	607911
286	101711	607076
287	101981	606222
288	102346	605931
289	102609	605041
290	102880	604202
291	103169	603472
292	103464	602779
293	103755	602066
294	104003	601105
295	104345	600691
296	104604	599801
297	104878	599002
298	105167	598294
299	105540	598061
300	105788	597125
301	106061	596334
302	106336	595555
303	106622	594840
304	106910	594142
305	107160	593236
306	107421	592393
307	107686	591576
308	107946	590737
309	108198	589858
310	108468	589079
311	108731	588264
312	108972	587334
313	109257	586647
314	109537	585938
315	109850	585406
316	110149	584802
317	110457	584241
318	110749	583602
319	111018	582845
320	111305	582184
321	111576	581444
322	111873	580843
323	112145	580109
324	112420	579395
325	112688	578653
326	112975	578007
327	113231	577203
328	113479	576366
329	113745	575619
330	114045	575049
331	114346	574489
332	114599	573685
333	114892	573084
334	115232	572721
335	115524	572118
336	115811	571498
337	116168	571217
338	116444	570541
339	116698	569760
340	116985	569146
341	117252	568435
342	117538	567815
343	117814	567151
344	118086	566471
345	118384	565917
346	118658	565250
347	118939	564622
348	119238	564078
349	119517	563437
350	119778	562721
351	120034	561981
352	120331	561431
353	120635	560920
354	120965	560528
355	121248	559921
356	121563	559463
357	121910	559154
358	122202	558592
359	122501	558061
360	122830	557672
361	123113	557072
362	123377	556388
363	123649	555745
364	123963	555289
365	124223	554592
366	124484	553907
367	124743	553211
368	125042	552695
369	125434	552587
370	125737	552092
371	126045	551619
372	126430	551479
373	126737	551003
374	127089	550721
375	127440	550436
376	127737	549914
377	128022	549347
378	128304	548762
379	128586	548185
380	128866	547597
381	129157	547061
382	129471	546621
383	129771	546122
384	130080	545663
385	130363	545095
386	130654	544562
387	130960	544095
388	131389	544135
389	131765	543953
390	132039	543354
391	132318	542777
392	132620	542292
393	132900	541719
394	133178	541142
395	133480	540662
396	133756	540081
397	134039	539527
398	134305	538906
399	134603	538412
400	134881	537845
401	135201	537444
402	135543	537130
403	135873	536767
404	136241	536554
405	136593	536281
406	136927	535936
407	137311	535782
408	137685	535591
409	138047	535355
410	138388	535035
411	138701	534605
412	139041	534283
413	139590	534759
414	140086	535029
415	140395	534584
416	140719	534192
417	141031	533759
418	141312	533209
419	141622	532771
420	141921	532288
421	142228	531841
422	142575	531538
423	142866	531032
424	143265	530926
425	143589	530540
426	143894	530085
427	144338	530139
428	144762	530120
429	145088	529740
430	145435	529440
431	145760	529056
432	146101	528730
433	146380	528185
434	146696	527769
435	147048	527487
436	147334	526964
437	147641	526522
438	147965	526138
439	148288	525751
440	148581	525259
441	148836	524630
442	149137	524169
443	149407	523600
444	149681	523046
445	149966	522527
446	150267	522069
447	150542	521522
448	150825	521004
449	151084	520400
450	151333	519769
451	151625	519285
452	151916	518795
453	152191	518257
454	152467	517720
455	152723	517116
456	153020	516652
457	153286	516088
458	153580	515615
459	153865	515113
460	154166	514667
461	154442	514139
462	154721	513622
463	154996	513091
464	155322	512732
465	155676	512461
466	155939	511895
467	156256	511504
468	156549	511037
469	156818	510495
470	157155	510171
471	157491	509846
472	157800	509432
473	158105	509006
474	158414	508594
475	158714	508152
476	159013	507708
477	159327	507315
478	159650	506948
479	159936	506464
480	160224	505990
481	160525	505556
482	160821	505104
483	161125	504682
484	161513	504522
485	161801	504048
486	162084	503560
487	162351	503023
488	162671	502651
489	162946	502141
490	163232	501666
491	163540	501257
492	163855	500873
493	164162	500462
494	164422	499909
495	164777	499648
496	165074	499210
497	165325	498632
498	165637	498239
499	165935	497806
500	166229	497360
501	166530	496938
502	166829	496508
503	167120	496057
504	167396	495561
505	167735	495251
506	168072	494934
507	168349	494445
508	168652	494030
509	168998	493740
510	169305	493337
511	169615	492943
512	169933	492575
513	170308	492370
514	170634	492024
515	171025	491864
516	171364	491555
517	171763	491416
518	172085	491058
519	172432	490768
520	172749	490396
521	173158	490284
522	173508	490005
523	173890	489815
524	174411	490013
525	174727	489636
526	175026	489210
527	175349	488853
528	175684	488529
529	175991	488126
530	176326	487803
531	176669	487501
532	176943	487010
533	177282	486697
534	177595	486312
535	177965	486083
536	178291	485735
537	178638	485445
538	178929	485001
539	179194	484488
540	179464	483989
541	179761	483566
542	180074	483182
543	180356	482719
544	180661	482316
545	181012	482038
546	181324	481654
547	181628	481249
548	181926	480828
549	182233	480433
550	182558	480085
551	182908	479802
552	183252	479504
553	183546	479075
554	183850	478674
555	184147	478252
556	184445	477837
557	184703	477315
558	184985	476857
559	185270	476410
560	185556	475964
561	185875	475602
562	186174	475192
563	186456	474735
564	186732	474268
565	187046	473895
566	187315	473408
567	187616	473005
568	187938	472654
569	188252	472282
570	188546	471862
571	188834	471426
572	189128	471006
573	189456	470670
574	189725	470189
575	190045	469834
576	190357	469459
577	190682	469119
578	190987	468727
579	191276	468296
580	191694	468184
581	192069	467962
582	192355	467527
583	192642	467092
584	192987	466798
585	193307	466444
586	193603	466033
587	193927	465690
588	194216	465262
589	194504	464833
590	194831	464497
591	195120	464071
592	195436	463708
593	195734	463303
594	196020	462872
595	196291	462405
596	196618	462070
597	196911	461656
598	197275	461407
599	197573	461005
600	197867	460593
601	198296	460495
602	198641	460203
603	198949	459822
604	199246	459420
605	199581	459102
606	199903	458757
607	200248	458462
608	200549	458068
609	200865	457710
610	201192	457376
611	201495	456985
612	201802	456607
613	202101	456210
614	202401	455814
615	202703	455424
616	203047	455129
617	203368	454781
618	203677	454407
619	204037	454147
620	204354	453792
621	204627	453337
622	204914	452917
623	205215	452527
624	205564	452241
625	205856	451832
626	206133	451390
627	206419	450968
628	206762	450669
629	207042	450234
630	207316	449788
631	207617	449400
632	207957	449096
633	208267	448728
634	208593	448393
635	208880	447976
636	209163	447549
637	209454	447141
638	209724	446691
639	209997	446245
640	210295	445852
641	210639	445557
642	211067	445440
643	211352	445021
644	211656	444642
645	212016	444381
646	212290	443939
647	212596	443565
648	212891	443168
649	213157	442711
650	213437	442284
651	213735	441895
652	214043	441526
653	214330	441114
654	214637	440744
655	214941	440367
656	215256	440013
657	215555	439628
658	215889	439313
659	216160	438870
660	216445	438457
661	216780	438145
662	217099	437800
663	217417	437455
664	217787	437212
665	218114	436884
666	218442	436557
667	218750	436190
668	219064	435836
669	219382	435491
670	219674	435092
671	219934	434632
672	220241	434264
673	220538	433879
674	220848	433516
675	221134	433110
676	221445	432750
677	221740	432360
678	222042	431985
679	222347	431615
680	222644	431231
681	222972	430905
682	223250	430484
683	223569	430141
684	223866	429758
685	224145	429340
686	224426	428926
687	224774	428639
688	225091	428294
689	225482	428090
690	225950	428030
691	226251	427654
692	226563	427300
693	226883	426959
694	227254	426714
695	227552	426334
696	227895	426037
697	228225	425715
698	228559	425402
699	228846	425001
700	229221	424763
701	229648	424621
702	229976	424294
703	230314	423987
704	230670	423714
705	231073	423525
706	231410	423216
707	231772	422951
708	232109	422641
709	232424	422291
710	232793	422040
711	233129	421728
712	233458	421404
713	233880	421247
714	234317	421116
715	234718	420919
716	235055	420607
717	235399	420309
718	235686	419908
719	235936	419441
720	236235	419063
721	236524	418668
722	236825	418293
723	237154	417968
724	237447	417580
725	237735	417183
726	238069	416867
727	238383	416515
728	238665	416109
729	238957	415719
730	239326	415465
731	239744	415294
732	240120	415051
733	240417	414670
734	240715	414293
735	241057	413989
736	241367	413632
737	241641	413213
738	241952	412857
739	242224	412437
740	242506	412032
741	242770	411596
742	243084	411247
743	243387	410879
744	243670	410479
745	243985	410131
746	244247	409695
747	244532	409297
748	244856	408965
749	245249	408749
750	245618	408492
751	245972	408210
752	246261	407819
753	246563	407450
754	246861	407076
755	247174	406727
756	247524	406436
757	247905	406198
758	248206	405828
759	248517	405476
760	248858	405170
761	249194	404859
762	249500	404497
763	249825	404167
764	250160	403854
765	250447	403462
766	250722	403051
767	251010	402662
768	251316	402303
769	251739	402129
770	252067	401803
771	252403	401491
772	252733	401169
773	253105	400914
774	253416	400561
775	253799	400322
776	254088	399936
777	254407	399596
778	254729	399260
779	255080	398972
780	255402	398637
781	255734	398317
782	256090	398036
783	256378	397648
784	256681	397283
785	257076	397061
786	257407	396741
787	257751	396440
788	258129	396190
789	258399	395776
790	258681	395380
791	259052	395120
792	259395	394817
793	259763	394553
794	260042	394151
795	260349	393794
796	260644	393419
797	260968	393087
798	261307	392778
799	261623	392434
800	261926	392072
801	262256	391749
802	262608	391460
803	262957	391165
804	263314	390883
805	263618	390522
806	263971	390233
807	264294	389899
808	264610	389557
809	264953	389251
810	265302	388957
811	265627	388627
812	265935	388272
813	266220	387884
814	266512	387506
815	266795	387115
816	267119	386783
817	267450	386462
818	267724	386059
819	268079	385772
820	268365	385387
821	268657	385010
822	268936	384615
823	269221	384228
824	269493	383823
825	269763	383416
826	270067	383058
827	270364	382690
828	270633	382282
829	270975	381976
830	271291	381636
831	271629	381326
832	271933	380967
833	272244	380620
834	272550	380264
835	272823	379863
836	273164	379557
837	273450	379175
838	273733	378789
839	274050	378450
840	274370	378116
841	274696	377789
842	274999	377431
843	275316	377092
844	275599	376707
845	275909	376359
846	276200	375984
847	276504	375628
848	276774	375226
849	277021	374793
850	277327	374441
851	277610	374057
852	277888	373667
853	278199	373322
854	278521	372990
855	278812	372619
856	279148	372306
857	279527	372051
858	279797	371651
859	280100	371296
860	280398	370933
861	280664	370528
862	280978	370188
863	281235	369772
864	281568	369457
865	281855	369081
866	282157	368724
867	282444	368349
868	282717	367955
869	282986	367556
870	283262	367168
871	283558	366804
872	283844	366428
873	284136	366061
874	284414	365676
875	284703	365304
876	285042	364997
877	285348	364647
878	285645	364286
879	285964	363954
880	286323	363673
881	286618	363309
882	286884	362910
883	287165	362530
884	287465	362173
885	287716	361755
886	288006	361387
887	288304	361030
888	288572	360634
889	288838	360237
890	289106	359841
891	289376	359450
892	289705	359131
893	290050	358832
894	290426	358571
895	290729	358220
896	291089	357939
897	291473	357687
898	291900	357489
899	292577	357595
900	292988	357374
901	293494	357269
902	293921	357067
903	294500	357048
904	295110	357067
905	295571	356903
906	296200	356942
907	296777	356917
908	297622	357213
909	298956	358090
910	299470	357983
911	299906	357783
912	300764	358084
913	301750	358534
914	303148	359470
915	304279	360085
916	305303	360570
917	306412	361152
918	306963	361074
919	307527	361010
920	308067	360917
921	308624	360842
922	309138	360717
923	309687	360632
924	310491	360841
925	310894	360583
926	311296	360325
927	311886	360282
928	312457	360217
929	313189	360336
930	313785	360296
931	314331	360200
932	314830	360047
933	315337	359902
934	315890	359810
935	316454	359730
936	317432	360118
937	318677	360805
938	319290	360774
939	320676	361613
940	321548	361870
941	322142	361811
942	322854	361885
943	323327	361688
944	323923	361628
945	324412	361448
946	324927	361297
947	325383	361079
948	325779	360795
949	326175	360509
950	326543	360193
951	326902	359867
952	327270	359551
953	327684	359284
954	328023	358936
955	328384	358612
956	328695	358233
957	329081	357935
958	329631	357817
959	330279	357803
960	330688	357529
961	330989	357138
962	331303	356762
963	331657	356428
964	331967	356048
965	332462	355865
966	333011	355740
967	333467	355515
968	333956	355323
969	334370	355052
970	334835	354835
971	335333	354653
972	335759	354393
973	336273	354226
974	336715	353982
975	337185	353768
976	337630	353527
977	338175	353389
978	338663	353192
979	339061	352901
980	339502	352653
981	339895	352356
982	340369	352142
983	340828	351912
984	341312	351707
985	341882	351590
986	342411	351431
987	342874	351203
988	343355	350993
989	343885	350832
990	344417	350673
991	344944	350508
992	345407	350277
993	345950	350126
994	346463	349945
995	346977	349764
996	347347	349438
997	347691	349085
998	348099	348796
999	348498	348498
1000	348843	348146
1001	349368	347973
1002	349945	347851
1003	350431	347638
1004	350956	347464
1005	351441	347249
1006	351882	346990
1007	352352	346759
1008	352824	346530
1009	353287	346291
1010	353742	346045
1011	354199	345799
1012	354666	345563
1013	355105	345300
1014	355569	345059
1015	356019	344805
1016	356469	344551
1017	356881	344260
1018	357374	344047
1019	357866	343832
1020	358284	343545
1021	358759	343313
1022	359261	343106
1023	359739	342876
1024	360236	342664
1025	360846	342557
1026	361467	342461
1027	362023	342302
1028	362505	342072
1029	362971	341827
1030	363441	341585
1031	363884	341318
1032	364321	341044
1033	364848	340854
1034	365537	340815
1035	365971	340537
1036	366344	340202
1037	366794	339938
1038	367195	339629
1039	367767	339477
1040	368452	339429
1041	369254	339487
1042	369723	339238
1043	370250	339041
1044	370930	338984
1045	371487	338813
1046	371989	338592
1047	372563	338435
1048	373104	338248
1049	373701	338111
1050	374815	338439
1051	375575	338446
1052	376212	338341
1053	376837	338224
1054	377343	337999
1055	377969	337881
1056	378514	337690
1057	379022	337466
1058	379545	337253
1059	380058	337032
1060	380544	336787
1061	381041	336550
1062	381526	336303
1063	382012	336056
1064	382513	335821
1065	382953	335533
1066	383393	335244
1067	383855	334975
1068	384371	334751
1069	384885	334526
1070	385329	334239
1071	385738	333923
1072	386171	333626
1073	386649	333368
1074	387135	333116
1075	387600	332846
1076	388067	332577
1077	388519	332295
1078	389028	332062
1079	389441	331746
1080	389959	331519
1081	390528	331335
1082	391076	331132
1083	391610	330917
1084	392081	330649
1085	392517	330350
1086	393222	330278
1087	394041	330299
1088	394529	330042
1089	394966	329742
1090	395494	329518
1091	396018	329290
1092	396488	329016
1093	396916	328707
1094	397518	328542
1095	397996	328274
1096	398671	328168
1097	399412	328114
1098	400126	328037
1099	400712	327856
1100	401271	327650
1101	401821	327437
1102	402332	327191
1103	402765	326881
1104	403251	326615
1105	403968	326535
1106	404432	326249
1107	405019	326062
1108	405716	325963
1109	406339	325803
1110	406804	325516
1111	407393	325328
1112	407972	325131
1113	408529	324916
1114	409106	324716
1115	409716	324542
1116	410294	324341
1117	410875	324142
1118	411338	323850
1119	411752	323519
1120	412246	323251
1121	412744	322985
1122	413209	322693
1123	413698	322419
1124	414363	322282
1125	414932	322069
1126	415640	321964
1127	416368	321873
1128	416885	321618
1129	417473	321417
1130	418268	321375
1131	419064	321331
1132	419551	321051
1133	419973	320720
1134	420377	320375
1135	420796	320042
1136	421453	319889
1137	422017	319665
1138	422765	319579
1139	423873	319764
1140	424564	319632
1141	425392	319603
1142	426175	319538
1143	426861	319400
1144	427879	319508
1145	428691	319460
1146	429387	319326
1147	430245	319311
1148	430976	319200
1149	431680	319068
1150	432379	318931
1151	433022	318752
1152	433594	318520
1153	434308	318392
1154	434871	318152
1155	435477	317943
1156	436050	317710
1157	436656	317499
1158	437153	317210
1159	437723	316971
1160	438311	316747
1161	438911	316529
1162	439504	316307
1163	440126	316104
1164	440767	315915
1165	441337	315673
1166	441876	315409
1167	442380	315120
1168	442994	314908
1169	443586	314681
1170	444098	314395
1171	444622	314118
1172	445205	313882
1173	445745	313616
1174	446375	313412
1175	446852	313100
1176	447361	312811
1177	447890	312534
1178	448513	312323
1179	448918	311960
1180	449529	311739
1181	450137	311516
1182	450626	311210
1183	451187	310953
1184	451787	310723
1185	452302	310433
1186	452839	310158
1187	453327	309850
1188	453932	309620
1189	454553	309401
1190	455165	309176
1191	455757	308935
1192	456349	308695
1193	457044	308523
1194	458439	308823
1195	459138	308651
1196	459797	308452
1197	460315	308157
1198	461005	307977
1199	461965	307976
1200	469818	312560
1201	470811	312568
1202	471510	312380
1203	472280	312238
1204	472994	312058
1205	473642	311834
1206	473642	311834
1207	475096	311745
1208	475770	311535
1209	476905	311625
1210	478266	311861
1211	479134	311773
1212	480317	311889
1213	481311	311880
1214	482699	312124
1215	483616	312062
1216	484735	312128
1217	486018	312298
1218	486715	312089
1219	487347	311838
1220	487893	311531
1221	488487	311255
1222	489136	311013
1223	489734	310739
1224	490395	310503
1225	490957	310204
1226	491521	309907
1227	492239	309705
1228	492944	309495
1229	493701	309316
1230	494539	309187
1231	495233	308967
1232	495840	308692
1233	496559	308487
1234	497198	308230
1235	497821	307963
1236	498443	307696
1237	498976	307373
1238	499455	307016
1239	499987	306691
1240	500490	306348
1241	501057	306044
1242	501676	305772
1243	502228	305458
1244	503007	305281
1245	503787	305104
1246	504604	304949
1247	505146	304627
1248	505804	304374
1249	506485	304134
1250	507063	303832
1251	507663	303542
1252	508265	303254
1253	508864	302962
1254	509381	302622
1255	510017	302353
1256	510756	302143
1257	511313	301825
1258	511999	301583
1259	512784	301398
1260	513477	301158
1261	514079	300865
1262	514664	300560
1263	515268	300267
1264	515960	300024
1265	516465	299672
1266	517101	299395
1267	517753	299128
1268	518408	298861
1269	519029	298574
1270	519648	298286
1271	520341	298039
1272	521049	297801
1273	521656	297503
1274	522262	297206
1275	522877	296912
1276	523589	296673
1277	524200	296376
1278	524919	296140
1279	525545	295850
1280	526237	295597
1281	526926	295342
1282	527548	295048
1283	528174	294756
1284	528760	294442
1285	529398	294156
1286	530022	293861
1287	530639	293562
1288	531284	293279
1289	532044	293058
1290	532625	292737
1291	533246	292438
1292	534007	292216
1293	534687	291948
1294	535417	291707
1295	536382	291593
1296	537224	291411
1297	537967	291174
1298	538802	290986
1299	539524	290736
1300	540145	290432
1301	540729	290107
1302	541308	289778
1303	541941	289479
1304	542565	289174
1305	543123	288833
1306	543633	288467
1307	544190	288125
1308	544652	287733
1309	545151	287360
1310	545622	286972
1311	546138	286608
1312	546682	286258
1313	547169	285878
1314	547724	285533
1315	548227	285161
1316	548766	284807
1317	549306	284455
1318	549827	284091
1319	550325	283716
1320	550905	283382
1321	551441	283026
1322	551999	282680
1323	552547	282329
1324	553045	281952
1325	553440	281523
1326	553793	281073
1327	554119	280609
1328	554488	280167
1329	554906	279749
1330	555536	279438
1331	556082	279085
1332	556594	278715
1333	557164	278373
1334	557751	278039
1335	558243	277658
1336	558790	277303
1337	559327	276944
1338	559885	276595
1339	560391	276219
1340	560974	275882
1341	561477	275505
1342	561975	275124
1343	562523	274769
1344	563002	274380
1345	563629	274062
1346	564160	273697
1347	564675	273324
1348	565207	272959
1349	565682	272567
1350	566270	272229
1351	566827	271875
1352	567335	271498
1353	568004	271197
1354	568531	270829
1355	569133	270496
1356	569699	270145
1357	570250	269787
1358	570833	269443
1359	571374	269080
1360	571932	268724
1361	572438	268343
1362	572972	267976
1363	573462	267587
1364	573963	267204
1365	574461	266819
1366	575024	266464
1367	575588	266109
1368	576200	265776
1369	576738	265409
1370	577409	265102
1371	577952	264736
1372	578522	264383
1373	579111	264037
1374	579567	263631
1375	580064	263243
1376	580576	262862
1377	581161	262514
1378	581725	262156
1379	582188	261752
1380	582698	261370
1381	583261	261010
1382	583770	260626
1383	584306	260254
1384	584853	259887
1385	585399	259519
1386	586059	259202
1387	586682	258867
1388	587280	258521
1389	587848	258162
1390	588431	257809
1391	588966	257434
1392	589510	257063
1393	590106	256715
1394	590655	256346
1395	591273	256006
1396	591941	255688
1397	592657	255390
1398	593258	255041
1399	593839	254684
1400	594472	254349
1401	594991	253965
1402	595552	253598
1403	596072	253214
1404	596571	252820
1405	597147	252459
1406	597736	252103
1407	598435	251793
1408	599142	251486
1409	599777	251148
1410	600396	250804
1411	600999	250451
1412	601656	250122
1413	602175	249734
1414	602772	249379
1415	603403	249037
1416	604029	248693
1417	604601	248326
1418	605236	247984
1419	605828	247625
1420	606449	247277
1421	607000	246901
1422	607699	246584
1423	608244	246204
1424	608862	245853
1425	609419	245478
1426	609933	245085
1427	610574	244743
1428	611148	244373
1429	611740	244011
1430	612333	243648
1431	612957	243298
1432	613528	242926
1433	614225	242604
1434	614865	242258
1435	615488	241906
1436	616057	241532
1437	616693	241184
1438	617261	240809
1439	617874	240451
1440	618404	240061
1441	618999	239695
1442	619522	239302
1443	620158	238952
1444	620748	238584
1445	621374	238229
1446	621947	237854
1447	622508	237473
1448	623086	237099
1449	623595	236699
1450	624171	236324
1451	624737	235945
1452	625362	235587
1453	625899	235196
1454	626490	234826
1455	627023	234433
1456	627631	234068
1457	628504	233801
1458	629343	233521
1459	629907	233139
1460	630466	232754
1461	632135	232778
1462	632705	232395
1463	633632	232144
1464	634484	231864
1465	635279	231562
1466	636111	231273
1467	636732	230907
1468	637252	230504
1469	638082	230213
1470	638744	229861
1471	639291	229466
1472	639900	229094
1473	640463	228705
1474	641035	228320
1475	641610	227934
1476	642197	227553
1477	642738	227156
1478	643240	226744
1479	643865	226375
1480	644568	226034
1481	645203	225668
1482	645879	225316
1483	646422	224918
1484	647001	224532
1485	647602	224153
1486	648258	223793
1487	648838	223406
1488	649396	223012
1489	649962	222619
1490	650552	222235
1491	651350	221922
1492	652072	221582
1493	652685	221204
1494	653290	220824
1495	653803	220412
1496	654349	220011
1497	654899	219612
1498	655521	219236
1499	656028	218822
1500	656595	218427
1501	657124	218020
1502	657679	217621
1503	658302	217244
1504	658986	216887
1505	659657	216525
1506	660143	216102
1507	660755	215721
1508	661369	215339
1509	661990	214960
1510	662594	214575
1511	663189	214186
1512	663806	213805
1513	664400	213416
1514	664954	213013
1515	665511	212612
1516	666111	212224
1517	666725	211840
1518	667261	211431
1519	667800	211023
1520	668460	210653
1521	669396	210369
1522	670394	210103
1523	670801	209652
1524	671230	209209
1525	671886	208835
1526	672746	208524
1527	673549	208195
1528	674259	207837
1529	674813	207431
1530	675373	207026
1531	675959	206629
1532	676403	206188
1533	676871	205754
1534	677400	205339
1535	677856	204902
1536	678258	204448
1537	678687	204003
1538	679069	203544
1539	679418	203075
1540	679782	202610
1541	680182	202156
1542	680539	201690
1543	680949	201239
1544	681357	200788
1545	681708	200320
1546	682077	199858
1547	682382	199377
1548	682705	198902
1549	683037	198429
1550	683418	197970
1551	683814	197516
1552	684151	197046
1553	684561	196596
1554	684875	196119
1555	685196	195644
1556	685530	195173
1557	685856	194700
1558	686203	194233
1559	686549	193766
1560	686830	193281
1561	687119	192798
1562	687428	192321
1563	687708	191836
1564	688025	191362
1565	688349	190890
1566	688647	190411
1567	688953	189934
1568	689281	189464
1569	689589	188988
1570	689863	188504
1571	690157	188025
1572	690444	187544
1573	690828	187090
1574	691120	186611
1575	691457	186144
1576	691793	185678
1577	692122	185209
1578	692452	184741
1579	692768	184270
1580	693087	183799
1581	693468	183345
1582	693887	182902
1583	694251	182443
1584	694614	181985
1585	694947	181519
1586	695431	181092
1587	695953	180676
1588	696540	180275
1589	696928	179824
1590	697422	179399
1591	697839	178955
1592	698289	178519
1593	698655	178062
1594	698946	177586
1595	699282	177122
1596	699604	176654
1597	699905	176181
1598	700203	175708
1599	700544	175245
1600	700854	174775
1601	701141	174300
1602	701459	173832
1603	701807	173372
1604	702141	172908
1605	702439	172436
1606	702748	171967
1607	703046	171496
1608	703331	171021
1609	703678	170562
1610	704036	170105
1611	704325	169632
1612	704616	169160
1613	704899	168686
1614	705247	168228
1615	705618	167775
1616	705979	167320
1617	706405	166881
1618	706722	166416
1619	707080	165960
1620	707361	165487
1621	707733	165036
1622	708091	164581
1623	708447	164125
1624	708795	163668
1625	709141	163211
1626	709510	162759
1627	709863	162304
1628	710227	161851
1629	710584	161397
1630	710967	160949
1631	711378	160507
1632	711815	160071
1633	712191	159621
1634	712532	159164
1635	712834	158698
1636	713200	158246
1637	713549	157791
1638	713935	157344
1639	714255	156883
1640	714602	156428
1641	714947	155972
1642	715312	155521
1643	715656	155066
1644	716015	154613
1645	716361	154159
1646	716736	153710
1647	717095	153258
1648	717417	152799
1649	717767	152345
1650	718068	151882
1651	718419	151429
1652	718813	150985
1653	719129	150525
1654	719444	150065
1655	719803	149614
1656	720147	149161
1657	720562	148721
1658	721011	148290
